City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Desc,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
111,Omagari,JP,2020-02-23 18:03:23,39.45,140.48,34.0,65,93,5.01,light snow,0.0,0.13
112,Barra,BR,2020-02-23 18:03:24,-11.09,-43.14,82.47,65,100,5.99,overcast clouds,0.0,0.0
113,Luwuk,ID,2020-02-23 18:03:24,-0.95,122.79,82.85,73,40,11.5,scattered clouds,0.0,0.0
114,Karratha,AU,2020-02-23 18:03:24,-20.74,116.85,81.64,77,7,15.28,clear sky,0.0,0.0
115,Cockburn Town,TC,2020-02-23 18:03:24,21.46,-71.14,73.96,74,14,22.06,few clouds,0.0,0.0
116,Puerto Baquerizo Moreno,EC,2020-02-23 18:03:24,-0.9,-89.6,84.2,79,20,11.41,few clouds,0.0,0.0
117,Torbay,CA,2020-02-23 17:58:46,47.67,-52.73,37.99,69,40,24.16,scattered clouds,0.0,0.0
118,Esperance,AU,2020-02-23 18:03:25,-33.87,121.9,66.2,88,75,10.29,broken clouds,0.0,0.0
119,Vao,NC,2020-02-23 18:03:25,-22.67,167.48,77.65,76,83,14.32,broken clouds,0.0,0.0
120,Sanmenxia,CN,2020-02-23 18:03:25,34.77,111.18,52.84,56,98,5.17,overcast clouds,0.0,0.0
121,Frumusita,RO,2020-02-23 18:03:26,45.67,28.07,47.32,54,100,10.78,overcast clouds,0.0,0.0
122,Andenes,NO,2020-02-23 18:03:26,69.31,16.12,39.2,80,75,19.46,broken clouds,0.0,0.0
123,Lorengau,PG,2020-02-23 17:58:53,-2.02,147.27,83.43,71,10,6.78,clear sky,0.0,0.0
124,Gushikawa,JP,2020-02-23 18:03:26,26.35,127.87,62.6,71,40,3.36,scattered clouds,0.0,0.0
125,Asau,RO,2020-02-23 17:59:02,46.43,26.4,48.2,57,100,6.93,overcast clouds,0.0,0.0
126,Machico,PT,2020-02-23 18:03:27,32.7,-16.77,71.01,60,20,18.34,few clouds,0.0,0.0
127,Vila Franca Do Campo,PT,2020-02-23 18:03:27,37.72,-25.43,62.6,82,20,8.05,few clouds,0.0,0.0
128,Monrovia,LR,2020-02-23 17:59:35,6.3,-10.8,84.16,77,100,12.91,overcast clouds,0.0,0.0
129,Bredasdorp,ZA,2020-02-23 17:58:50,-34.53,20.04,68.0,49,0,17.22,clear sky,0.0,0.0
130,Sanming,CN,2020-02-23 18:03:27,26.25,117.62,54.28,82,8,3.15,clear sky,0.0,0.0
131,Saint George,US,2020-02-23 18:03:28,37.1,-113.58,48.99,75,61,8.05,broken clouds,0.0,0.0
132,Aldan,RU,2020-02-23 18:02:05,58.6,125.39,5.83,96,100,3.69,light snow,0.0,0.44
133,Vestmannaeyjar,IS,2020-02-23 18:03:28,63.44,-20.27,33.8,63,75,25.28,broken clouds,0.0,0.0
134,Puerto Madero,MX,2020-02-23 18:03:28,14.72,-92.42,91.4,49,20,9.33,few clouds,0.0,0.0
135,Shenjiamen,CN,2020-02-23 18:03:28,29.96,122.3,54.03,79,0,17.25,clear sky,0.0,0.0
136,Pevek,RU,2020-02-23 18:03:29,69.7,170.31,-11.27,98,100,1.92,light snow,0.0,0.13
137,Touros,BR,2020-02-23 18:03:29,-5.2,-35.46,89.6,59,20,13.87,few clouds,0.0,0.0
138,Zambezi,ZM,2020-02-23 18:03:29,-13.54,23.1,70.74,94,100,2.86,light rain,0.25,0.0
139,Clyde River,CA,2020-02-23 18:03:29,70.47,-68.59,-22.0,74,1,17.22,clear sky,0.0,0.0
140,Victoria,HK,2020-02-23 17:56:09,22.29,114.16,71.01,59,66,20.8,broken clouds,0.0,0.0
141,Nemuro,JP,2020-02-23 18:03:30,43.32,145.57,28.53,78,58,22.68,broken clouds,0.0,0.0
142,Aklavik,CA,2020-02-23 18:03:30,68.22,-135.01,-4.0,76,90,5.82,overcast clouds,0.0,0.0
143,Toamasina,MG,2020-02-23 18:03:30,-18.17,49.38,82.4,78,75,5.82,thunderstorm,0.0,0.0
144,Sao Joao Da Barra,BR,2020-02-23 18:03:30,-21.64,-41.05,78.8,61,90,16.11,overcast clouds,0.0,0.0
145,Filadelfia,US,2020-02-23 18:02:44,39.95,-75.16,55.99,18,1,8.05,clear sky,0.0,0.0
146,Praia,CV,2020-02-23 18:03:31,14.92,-23.51,75.2,60,75,19.46,broken clouds,0.0,0.0
147,Tyup,KG,2020-02-23 18:03:31,42.73,78.36,24.62,48,100,4.92,overcast clouds,0.0,0.0
148,Gat,IL,2020-02-23 17:59:56,31.61,34.76,59.0,77,75,4.7,broken clouds,0.0,0.0
